vid,score
c3220357i4k,1
l3118tgs6d5,2
a3078jgrw9o,1
d3219tplknc,0
p0034hqvgki,1
z3143q2ib61,2
e09757iglo1,2
f3110atj1id,2
a3117o6mu1l,1
f3103rrc7se,2
f0977u90sz3,2
h3124ugnmiz,2
i3101v9lzr5,1
y3145rtezo7,1
k3219r3k735,1
b3106bj1dms,2
w09767u470m,1
b3104rjzkli,2
j00342nr73d,2
x311684vxw2,1
w3112hm1lsq,2
s31300p3kzx,1
j3081s2q9p0,1
b3152ggu6pq,2
t3080b2g52s,1
u3219ya9tyi,0
u31015x0ykk,2
p3079gs77b7,1
d3126udex49,1
d313729rktj,2
r3105dw0fl0,1
o0034hpuguq,0
x3109c02ogj,2
u31324jf21o,2
a313826ao1p,1
f098064i1y9,1
r3219hcc3bs,0
n3122ymz707,2
c3102p91dw9,1
c312381mexb,1
f3117egf2ul,2
v3105dl2ao2,1
z3081czt073,1
f3139liy48x,2
g31019vmijw,2
n3112rkaznl,2
m3111g9hzud,1
e3219jmr0sw,0
k0034ahfa75,1
x0978faf9ex,2
w3118qrdz0f,1
v3136q0fp93,2
j3106f2us1j,1
i3101vaxixc,1
w0034sk6qq7,0
w3082s151td,1
m0034v1see2,1
v3219bokdvm,0
w0034gb0o95,2
w0034kjjav6,1
k0975k87dgt,1
x3142466tcb,1
j0034o70vpg,1
k31033d1rh2,1
s3142vhllix,1
z3125kyml3z,1
g3101zwwvw8,2
w00340nnorw,1
n3219xl5zzp,0
k3109ysx21x,1
a3105jbhrwu,2
l0978an9xr9,2
d3100qomg06,1
i3078it55fy,2
c0975lthgiq,1
g0978jpkoq2,1
w31296qy709,1
k0034rcx6mc,1
j3128mmgtcs,1
m3219ti1nlf,0
k3145wxncdl,1
q3153u3d47n,1
h3103h7teb7,1
j31382cjcmc,2
o3121lw48e2,1
o31253ro2n5,2
e3114vcsquc,2
t310057irva,2
k0034h87g5f,1
k3106pnmgxa,1
u3219ai45cu,0
v308019he44,2
g00343qkj7n,1
o0975dwcfmq,2
u3136ucn9n7,2
h0034xayu95,1
t0034qbhcqd,1
o0034b37p6c,1
m3107fmlzt4,1
y3123s6wdbr,2
p3082kct3bi,1
r3219se8g1u,0
r3080d41qn7,1
d3107uhb4el,2
j3138qv8rt2,2
t097998lr9u,2
b3101takcw0,1
v31522x993f,2
z3080y25aq6,1
u0978evjyw0,1
a3108aajesy,0
n3111c21jvj,2
i3210qmmyen,0
p3219lc050d,0
y31139xncll,1
d31450t9pf0,1
k3104p53md3,1
v3116ur4tan,2
k3130qlx62r,1
v31245bgd8d,1
b3105jdy1x1,2
m3117mf3bp5,2
l0976bi1lt4,1
w3114x1ka1v,1
t3219vpf5qk,0
m3121bzdnko,1
i3120ffxot0,2
d3115nrcfcy,2
n3110me5ojm,2
j0034nzs3v0,1
u3078cxd5jv,2
q00343j1avd,2
d31030zw783,2
h003411p8zw,1
y3115rmzhm5,2
v321978lvjp,0
q3081t0izef,1
k3105idf6tb,1
u0975vxj5xd,1
a0034w21ucl,1
m3120xie09j,2
c3079m0h5lq,1
k0977crbrh4,1
r3114unldon,1
c31417byx8l,1
r31202kz6qh,1
c3219gh3mf2,0
g3115k3anj9,2
f3127pyzwce,1
y3113qihsyz,2
r31210dk0mm,1
r31294clvz4,2
z09765sfobh,1
l3112xipo6x,1
a0979z2sged,1
r3114lg41dx,1
l31021rxafb,2
t3219aejkbl,0
u3102xzkg7e,1
z3141m4ngb7,2
u3120cto36m,2
v31111tcapq,1
h0976voarfo,1
c0980rx3lh7,1
l31238l20p0,1
w313852u04y,1
b0980dkgbkv,1
e31061jzqm2,1
r32192uks7t,0
v3108hw9dcv,1
m312020xjrd,1
i3146o3d754,1
m31537351s0,1
n0980teavp4,2
y3115fd2cw7,2
w0975upba79,1
p3152e6aa8m,2
v3152l8db89,1
s3114yhjxrr,1
h3219r27ufr,0
s3078dsusle,2
m310730shnd,1
s3079fq2gzk,1
q0978gh0ljx,1
i3103qm5ss4,2
f003457g994,1
s0976x79qn3,2
b0976r1cow8,1
f3082en79ej,1
d0979ajob4d,2
a3219w5ak7d,0
b3113fb22ha,1
o3122g6u6ch,2
d3100s2z6ha,1
i3145vrjh5z,1
p0978u8dffu,1
s3139x8eyhx,2
b3112gv7r0s,2
